Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Military expenditure (current USD),MS.MIL.XPND.CD,Kenya,KEN,246456438.633547,165584735.249522,622049847.791077,646678106.716751,840072589.956654,860560896.114738,819044152.771775,843667802.797011,933103002.549572,1015384781.9759,1097458153.05083,..
Military expenditure (current USD),MS.MIL.XPND.CD,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,"Korea, Rep.",KOR,10110714871.0587,13801107024.1211,28175181218.9679,30991707946.4761,31951760810.319,34311220715.1665,37552328673.4539,36570769322.5744,36885283430.0234,39170682135.6216,43069973342.8752,..
Military expenditure (current USD),MS.MIL.XPND.CD,Kosovo,XKX,..,..,38578120.5093736,50968863.7737974,43390403.8833654,48597681.233312,53575787.7448802,49984164.356216,51937624.4193762,57262629.2715651,63344074.218335,..
Military expenditure (current USD),MS.MIL.XPND.CD,Kuwait,KWT,8961536461.49313,2697075596.3558,4335204653.06151,5393526319.03152,5941536636.94559,5698067232.52099,5832249789.14816,5735132890.36545,6446742131.36237,6764636913.87805,7296266526.41746,..
Military expenditure (current USD),MS.MIL.XPND.CD,Kyrgyz Republic,KGZ,..,25794155.8114867,77237992.3114243,86423386.4064372,107529842.877185,119000613.911601,127970989.410691,117003250.568351,115645311.811562,121515805.359074,121163619.899255,..
Military expenditure (current USD),MS.MIL.XPND.CD,Lao PDR,LAO,..,13717664.5992971,15356402.9510448,19009820.5990989,20327157.6570726,22677720.3325005,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Latvia,LVA,..,69990683.3593674,259672124.197467,296834929.212511,255740342.589249,283568932.739998,295728965.265711,282688255.517356,406859305.390674,509390110.692267,679862611.097341,..
Military expenditure (current USD),MS.MIL.XPND.CD,Lebanon,LBN,214361038.658359,930016583.747927,1585406301.82421,1626533996.68325,1757213930.34826,1935718241.37232,2270065959.79379,2239416093.73945,2606456908.32225,2441074857.01822,2775557816.20658,..
Military expenditure (current USD),MS.MIL.XPND.CD,Lesotho,LSO,24165932.3160645,30555503.5209796,70661037.3680889,58169320.7531059,53240145.8227009,47941183.1723469,47693200.7703152,44025926.2497655,41489543.3648543,52594810.3725972,51064347.7548233,..
Military expenditure (current USD),MS.MIL.XPND.CD,Liberia,LBR,..,..,8458000,13271000,15179000,15111500,14531000,14799000,14712000,15334000,15786500,..
Military expenditure (current USD),MS.MIL.XPND.CD,Libya,LBY,..,1085534664.87046,..,..,2987413407.73267,3964690154.13652,3755658597.92518,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Lithuania,LTU,..,140400000,326320918.686429,344605215.42864,328631681.612931,354862149.703384,426900271.666182,471221026.949096,635448102.412289,812108700.042636,1030416769.94441,..
Military expenditure (current USD),MS.MIL.XPND.CD,Luxembourg,LUX,96691368.6355411,128192371.475954,274135432.540968,256962415.78642,237503049.757598,258655906.233246,279019013.052173,276145059.332372,260729679.579583,357671613.659217,419372654.804982,..
Military expenditure (current USD),MS.MIL.XPND.CD,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Madagascar,MDG,37948124.1780416,47210934.6139638,56922892.8921745,71989808.0113771,68636017.8043436,71877874.4942023,69676703.3431202,58932847.7562419,59394995.9205237,66906090.1851672,73258425.2386784,..
Military expenditure (current USD),MS.MIL.XPND.CD,Malawi,MWI,24312172.026619,11727501.4359178,49984217.9058656,52804842.9862952,46155953.6903969,62925520.091546,49454513.5750866,40793415.429498,35748121.98667,47416537.0668233,58369173.4379987,..
Military expenditure (current USD),MS.MIL.XPND.CD,Malaysia,MYS,1125007856.20011,1533157894.73684,3854285350.61113,4692483660.13072,4507252007.25201,4915722759.45679,4919244941.73292,4532069852.24432,4169374000.50693,3494832256.87397,3469828206.79145,..
Military expenditure (current USD),MS.MIL.XPND.CD,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Mali,MLI,52155069.5094852,43681247.6825062,146786545.710784,161062674.572866,148865779.870604,153833697.676302,218118382.330633,309170682.221659,362398902.198564,458709424.707926,495165301.003645,..
Military expenditure (current USD),MS.MIL.XPND.CD,Malta,MLT,21152027.6659552,25353948.0516936,58728949.9301366,55893126.4813618,49922008.9066599,53789438.883423,56514879.9166599,51796606.4101142,59672922.9895778,64235888.1657335,69284609.8462047,..
Military expenditure (current USD),MS.MIL.XPND.CD,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Mauritania,MRT,40181617.4372589,37878312.2595983,..,..,142299912.345762,144215483.467584,144844330.663143,132931217.691719,136064875.96938,143769318.593189,159013352.980386,..
Military expenditure (current USD),MS.MIL.XPND.CD,Mauritius,MUS,9183570.4914724,9360142.63074485,14874416.9124622,17512018.3933672,16662229.6173045,23200896.376061,19743974.9199922,21065693.014234,22958748.5611101,23823068.1794262,23202895.5612446,..
Military expenditure (current USD),MS.MIL.XPND.CD,Mexico,MEX,1327241698.07296,3323124172.44457,5897198480.53181,6471388439.46455,6978776718.9339,7837613529.59599,8663381606.16889,7739521461.86332,6019769275.17073,5781437374.70302,6567509335.98876,..
Military expenditure (current USD),MS.MIL.XPND.CD,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Moldova,MDA,..,5090797.96046388,18335718.2702336,22966963.6924335,23870072.823951,26710522.1342994,27565618.8549118,23051814.5944779,29656360.8576134,30629080.9862587,33957719.0958561,..
Military expenditure (current USD),MS.MIL.XPND.CD,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Mongolia,MNG,..,24265559.5493512,54855717.5069636,87157848.1572792,113622769.928844,103464069.871976,105102478.629658,101705865.957584,96365298.2751487,82755201.7854905,96067489.8598111,..
